moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
163,32,19,12,10,2,0.191358024691358,1743700054786
152,32,17,10,12,1,0.2052980132450331,1743700058433
112,32,20,12,9,3,0.2792792792792792,1743700603727
114,32,15,8,9,4,0.2743362831858407,1743700380532
161,31,21,11,18,2,0.1875,1743700745166
129,31,21,5,12,1,0.234375,1743699844754
158,31,16,14,9,4,0.1910828025477707,1743699730608
181,31,20,7,13,2,0.1666666666666666,1743699819391
182,31,23,15,17,2,0.1657458563535911,1743699548287
105,31,14,18,9,1,0.2884615384615384,1743700732326
110,31,19,5,9,3,0.2752293577981651,1743700370851
191,31,17,10,11,1,0.1578947368421052,1743700057586
191,31,21,13,15,2,0.1578947368421052,1743700097142
123,30,20,6,13,3,0.2377049180327868,1743700213337
190,30,20,5,18,4,0.1534391534391534,1743700740880
126,30,18,4,13,3,0.232,1743700714521
160,30,20,8,13,3,0.1823899371069182,1743699616356
179,30,18,11,14,2,0.1629213483146067,1743700165457
135,30,18,8,11,1,0.2164179104477611,1743700271084
98,30,19,13,15,3,0.2989690721649484,1743700415791
129,29,17,3,10,3,0.21875,1743699548607
150,29,23,9,16,3,0.1879194630872483,1743699870116
132,29,17,7,11,2,0.2137404580152671,1743700044072
177,29,25,9,22,2,0.1590909090909091,1743699832213
169,29,19,13,14,2,0.1666666666666666,1743700097524
213,28,20,7,10,1,0.1273584905660377,1743700422671
145,28,21,9,15,2,0.1875,1743700724110
188,28,23,4,14,4,0.1443850267379679,1743700793854
231,28,22,9,14,3,0.117391304347826,1743700694302
157,28,21,12,15,0,0.173076923076923,1743700568292
127,28,19,12,9,1,0.2142857142857142,1743700068174
123,28,21,9,13,2,0.221311475409836,1743700094587
111,28,16,6,10,3,0.2454545454545454,1743700057889
167,28,21,10,14,1,0.1626506024096385,1743699731272
191,27,18,8,15,5,0.1368421052631579,1743700704064
108,27,19,12,13,2,0.2429906542056074,1743700716074
131,27,18,5,10,2,0.2,1743700630525
140,27,18,1,13,3,0.1870503597122302,1743700793323
103,26,17,10,6,1,0.2450980392156862,1743700055117
109,26,16,12,10,2,0.2314814814814814,1743700058156
112,26,16,12,10,4,0.2252252252252252,1743700376701
151,26,18,8,12,2,0.1666666666666666,1743700116571
129,26,16,8,12,3,0.1953125,1743700423531
116,26,13,7,9,2,0.217391304347826,1743699591708
100,26,18,6,10,4,0.2525252525252525,1743699986739
111,26,13,8,7,1,0.2272727272727272,1743699553574
159,26,15,14,9,2,0.1582278481012658,1743699998190
111,26,19,7,11,1,0.2272727272727272,1743700093690
152,26,20,12,12,1,0.1655629139072847,1743700739962
122,26,14,12,8,3,0.2066115702479339,1743700723532
123,26,17,12,8,1,0.2049180327868852,1743700791858
151,26,13,7,10,3,0.1666666666666666,1743700629987
121,25,12,6,7,3,0.2,1743700630259
159,25,17,10,9,2,0.1518987341772152,1743699852237
143,25,17,12,10,1,0.1690140845070422,1743699730103
133,25,18,5,13,2,0.1818181818181818,1743700051750
105,25,18,8,13,2,0.2307692307692307,1743699972878
101,24,16,6,10,3,0.23,1743700750409
146,24,16,1,11,1,0.1586206896551724,1743700696553
114,24,13,8,8,3,0.2035398230088495,1743700740622
140,24,19,6,9,1,0.1654676258992805,1743700093963
87,24,13,11,8,3,0.2674418604651162,1743700044616
117,24,16,5,10,1,0.1982758620689655,1743699876681
103,24,15,7,11,1,0.2254901960784313,1743699859334
186,24,18,8,12,1,0.1243243243243243,1743699997528
131,24,16,5,10,2,0.1769230769230769,1743699682300
108,24,15,5,10,3,0.2149532710280373,1743699796283
108,23,15,5,9,4,0.205607476635514,1743700116292
100,23,16,8,8,2,0.2222222222222222,1743700377258
93,23,10,13,7,2,0.2391304347826087,1743700052330
124,23,19,8,14,2,0.1788617886178861,1743700565802
143,23,16,6,11,2,0.1549295774647887,1743700741281
110,22,14,9,9,1,0.1926605504587156,1743699676053
112,22,13,4,9,4,0.1891891891891892,1743699949617
117,22,16,8,9,2,0.1810344827586207,1743699877522
137,22,14,3,9,2,0.1544117647058823,1743700078950
121,22,15,7,11,3,0.175,1743700724390
121,22,18,4,14,2,0.175,1743700422970
96,21,13,2,7,2,0.2105263157894736,1743699547203
80,21,13,9,6,5,0.2531645569620253,1743699876988
144,21,15,6,9,2,0.1398601398601398,1743700683535
96,21,14,8,8,4,0.2105263157894736,1743699831040
93,21,12,6,5,1,0.217391304347826,1743700120381
227,21,16,8,12,2,0.0884955752212389,1743700588619
94,20,15,11,10,2,0.2043010752688172,1743700729126
87,19,14,6,11,3,0.2093023255813953,1743700378026
105,19,17,9,8,3,0.173076923076923,1743700633354
77,19,15,5,10,1,0.2368421052631578,1743700416080
