MOVES: 23 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 31 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 37 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 59 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 1
MOVES: 40 | PUSHES: 10 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 18 | DIR PUSHES: 12 | REV PUSHES: 6 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 64 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 5 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 64 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 42 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 21 | PUSHES: 5 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 1 | CORNER GOALS: 3
MOVES: 53 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 46 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 57 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 51 | PUSHES: 18 | DIR PUSHES: 12 | REV PUSHES: 10 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 32 | PUSHES: 12 | DIR PUSHES: 6 | REV PUSHES: 5 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 55 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 32 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 31 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 64 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 54 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 70 | PUSHES: 16 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 51 | PUSHES: 15 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 42 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 57 | PUSHES: 12 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 66 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 1 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 37 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 51 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 51 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 26 | PUSHES: 8 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 63 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 8 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 27 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 47 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 71 | PUSHES: 17 | DIR PUSHES: 13 | REV PUSHES: 6 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 46 | PUSHES: 11 | DIR PUSHES: 6 | REV PUSHES: 5 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 40 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 74 | PUSHES: 17 | DIR PUSHES: 14 | REV PUSHES: 3 | BOX CHANGES: 10 | CORNER GOALS: 2
MOVES: 42 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 45 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 31 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 56 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 43 | PUSHES: 13 | DIR PUSHES: 7 | REV PUSHES: 6 | BOX CHANGES: 4 | CORNER GOALS: 2
